Invoice No,Type,Order No,Order Type,Line ID,Invoice Date,Transaction Date,Shipped Date,Requested Date,Promised Date,Order By,Freight Handling,Route,Stop,Contain ID,Reference 1,Reference 2,Customer,Name,State,Country,Ship to Customer,Ship to Name,Ship to State,Ship to Country,Market Segment,Hyperion Code,B/P,Location,Item Number,Description 1,Description 2,Sub Family,Family,Grade,UOM,Quantity,Based Currency,Unit Price,Total Amount,Unit Cost,Total Cost,Currency,Unit Price,Total Value,UOM,Gross Weight,UOM,Net Weight,# of Package,G/L offset,Business Unit,Object,Subsidiary,Act Cat 07,Tagetik code,Terms,Sales Rep #,Name,Tax Rate,Tax Exp Code,Related Order,Related Type,Related Line Number,Delivery Instr 1,Delivery Instr 2,PO Received,PO Unit Price,PO Total Amount
312142,RI,20251302,D1,1,210105,201022,210105,210111,210111,1,1,1,1,T#,1,1,40050101,1,OK,USA,40050145,Customer-363,AR,USA,NW,1,         DOR,1,1,1,1,298,8B,,EA,4,CAD,192.374,769.5,98.665,394.66,USD,151,604,,0,LB,0,0,1,1,1,1,1,1,1,30005,Sales Representative-7,1,1,1,1,0,1,1,0,0,0
312142,RI,20251302,D1,2,210105,201022,0,210111,210111,1,1,1,1,T#,1,1,40050101,1,OK,USA,40050145,Customer-363,AR,USA,NW,1,         DOR,1,1,1,1,298,8B,,EA,1,CAD,0,0,0,0,USD,0,0,,0,,0,0,1,1,1,1,1,1,1,30005,Sales Representative-7,1,1,1,1,0,1,1,0,0,0
312143,RI,20251345,D1,1.1,210105,201102,210105,210113,210113,1,1,1,1,T#,1,1,40068101,1,QC,CANADA,40068125,Customer-1644,QC,CANADA,NH,1,         RMD,1,1,1,1,292,8A,,EA,20,CAD,185.75,3715,101.6565,2033.13,CAD,0,0,,0,LB,0,0,1,1,1,1,1,1,1,30010,Sales Representative-11,1,1,1,1,0,1,1,0,0,0
312143,RI,20251345,D1,3,210105,201102,0,210113,210113,1,1,1,1,T#,1,1,40068101,1,QC,CANADA,40068125,Customer-1644,QC,CANADA,NH,1,         RMD,1,1,1,1,292,8A,,EA,1,CAD,0,0,0,0,CAD,0,0,,0,,0,0,1,1,1,1,1,1,1,30010,Sales Representative-11,1,1,1,1,0,1,1,0,0,0
312144,RI,20251432,D1,1,210105,201125,210106,201203,201211,1,1,1,1,T#,1,1,40350301,1,TX,USA,40350310,Customer-1813,TX,USA,NH,1,         RMD,1,1,1,1,298,8B,,EA,3,CAD,1057.968,3173.9,735.5033,2206.51,USD,830.43,2491.29,,0,LB,0,0,1,1,1,1,1,1,1,30062,Sales Representative-5,1,1,1,1,0,1,1,0,0,0
312144,RI,20251432,D1,2,210105,201125,0,201203,210106,1,1,1,1,T#,1,1,40350301,1,TX,USA,40350310,Customer-1813,TX,USA,NH,1,         DOR,1,1,1,1,298,8B,,EA,1,CAD,0,0,0,0,USD,0,0,,0,,0,0,1,1,1,1,1,1,1,30062,Sales Representative-5,1,1,1,1,0,1,1,0,0,0
312145,RI,21250003,D1,1,210105,210104,210105,210106,210106,1,1,1,1,T#,1,1,40090901,1,QC,CANADA,40090912,Customer-1744,QC,CANADA,PO,1,         DOR,1,1,1,1,290,8A,,EA,2,CAD,50,100,7.355,14.71,CAD,0,0,,0,LB,0,0,1,1,1,1,1,1,1,30010,Sales Representative-11,1,1,1,1,0,1,1,0,0,0
312145,RI,21250003,D1,2,210105,210104,210105,210106,210106,1,1,1,1,T#,1,1,40090901,1,QC,CANADA,40090912,Customer-1744,QC,CANADA,PO,1,         DOR,1,1,1,1,207,09,,EA,1,CAD,0,0,0,0,CAD,0,0,,0,LB,0,0,1,1,1,1,1,1,1,30010,Sales Representative-11,1,1,1,1,0,1,1,0,0,0
312145,RI,21250003,D1,3,210105,210104,0,210106,210106,1,1,1,1,T#,1,1,40090901,1,QC,CANADA,40090912,Customer-1744,QC,CANADA,PO,1,         DOR,1,1,1,1,207,09,,EA,1,CAD,0,0,0,0,CAD,0,0,,0,,0,0,1,1,1,1,1,1,1,30010,Sales Representative-11,1,1,1,1,0,1,1,0,0,0
312146,RI,21250004,D1,1,210105,210104,210105,210105,210105,1,1,1,1,T#,1,1,40078901,1,WI,USA,40078951,Customer-1940,IL,USA,NW,1,         RMD,1,1,1,1,290,8A,,EA,19,CAD,54.655,1038.45,36.0605,685.15,USD,42.9,815.1,,0,LB,0,0,1,1,1,1,1,1,1,30005,Sales Representative-7,1,1,1,1,0,1,1,0,0,0
